"","V1"
"2409","I love the fire stick, but it was supposed to be delivered on Tuesday. I have a prime membership, obviously, so I counted on it. It was a gift to my daughter and her husband, but it didn't arrive until Wednesday instead, so the surprise was ruined as I had to stake out their house to get it before someone door snatched it.  They live within three miles of a distribution center as well, so it is maddening."
"2410","Works well! I used all pieces/parts of the package including the extension piece and the adapter. I stream from Hulu, Netflix, and Prime and everything works as it should. I don't really rely on Alexa Voice that much because there is oftentimes a breakdown in what I say and what it understands. So, I don't mind manually finding things and using the onscreen keyboard. I mainly use it on one television. I know that it claims to be portable as long as there is wifi but I have yet to use it in that capacity. I'll be sure to update this post, once I do."
"2411","Fairly easy to hook up. Didn't like the power cable to it. But it's ok. Most of people he apps you can download but you need a service provider for. Why would people buy this if they need cable. With smart tv they can get all the apps that fire stick can. Thinking about taking it back. Sat night was watching Vikings and it keep saying cannot get signal. Well I have way more than enough bandwidth it's the firestick that is slow.  The only good thing about it is alexia it's cool just asking for a song or movie.  That's the only reason it gets 2 stars"
"2412","One of the easiest devices out there, was already pre loaded with my Amazon profile, I purchased a Fire TV box a couple years ago, the Fire stick is plug and play as well and is concealed behind the TV. Excellent WiFi connection. Highly recommend."
"2413","This is great for watching movies. Wonderful selections"
"2414","I like it! I wish I didn't have to input my password in every time I get on something though. I tried to change it to just purchases but it doesn't have that option for me. Other wise it's good"
"2415","Once I realized that there is a ring around the large button that controlled accessing the necessary row of keys in order to setups network it was easy.  However, a third-party article helped me with the correct connections to make use of my surround sound system via the amplifier."
"2416","This is a gift for my granddaughter and she loves it."
"2417","Now if the development engineers could produce a ""Fire Fond"" universal remote…  Alexa is one of life’s frills and barely complementary but the accessibility to “formerly” premium programs is worth the very small investment after years of cost avoidance (I never thought it worthwhile to subscribe to the premiums)."
"2418","We are still finding out more of the choices we have. I have told a few of my work associates all about it. A d they are looking forward to ordering one. What we are pulling up makes us wanting to get rid of cable tv."
"2419","Better video quality than the previous generation, sound quality is good, seems to buffer less. Voice activated remote works well, just not as well as seen on TV. Overall, I'd recommend it."
